id_par;franja;dia;hora_salida;origen;destino;minutos;minutos_min;minutos_max;notas;
chicureo_elgolf;madrugada;martes;03:00;Rotonda Chicureo, Colina;Isidora Goyenechea con Augusto Leguía, Las Condes;22.0;;;;
chicureo_elgolf;punta_am;martes;08:00;Rotonda Chicureo, Colina;Isidora Goyenechea con Augusto Leguía, Las Condes;40.0;;;;
chicureo_elgolf;valle;martes;13:00;Rotonda Chicureo, Colina;Isidora Goyenechea con Augusto Leguía, Las Condes;30.0;;;;
chicureo_elgolf;punta_pm;martes;18:30;Rotonda Chicureo, Colina;Isidora Goyenechea con Augusto Leguía, Las Condes;29.3;;;;
chicureo_elgolf;noche;martes;21:30;Rotonda Chicureo, Colina;Isidora Goyenechea con Augusto Leguía, Las Condes;26.7;;;;
elgolf_chicureo;madrugada;martes;03:00;Isidora Goyenechea con Augusto Leguía, Las Condes;Rotonda Chicureo, Colina;20.7;;;;
elgolf_chicureo;punta_am;martes;08:00;Isidora Goyenechea con Augusto Leguía, Las Condes;Rotonda Chicureo, Colina;22.3;;;;
elgolf_chicureo;valle;martes;13:00;Isidora Goyenechea con Augusto Leguía, Las Condes;Rotonda Chicureo, Colina;25.3;;;;
elgolf_chicureo;punta_pm;martes;18:30;Isidora Goyenechea con Augusto Leguía, Las Condes;Rotonda Chicureo, Colina;34.0;;;;
elgolf_chicureo;noche;martes;21:30;Isidora Goyenechea con Augusto Leguía, Las Condes;Rotonda Chicureo, Colina;22.7;;;;
ladehesa_losleones;madrugada;martes;03:00;Av. La Dehesa con El Rodeo, Lo Barnechea;Av. Providencia con Los Leones, Providencia;20.0;;;;
ladehesa_losleones;punta_am;martes;08:00;Av. La Dehesa con El Rodeo, Lo Barnechea;Av. Providencia con Los Leones, Providencia;38.3;;;;
ladehesa_losleones;valle;martes;13:00;Av. La Dehesa con El Rodeo, Lo Barnechea;Av. Providencia con Los Leones, Providencia;33.3;;;;
ladehesa_losleones;punta_pm;martes;18:30;Av. La Dehesa con El Rodeo, Lo Barnechea;Av. Providencia con Los Leones, Providencia;36.7;;;;
ladehesa_losleones;noche;martes;21:30;Av. La Dehesa con El Rodeo, Lo Barnechea;Av. Providencia con Los Leones, Providencia;25.3;;;;
nunoa_apoquindo;madrugada;martes;03:00;Plaza Ñuñoa;Apoquindo con Manquehue, Las Condes;21.0;;;;
nunoa_apoquindo;punta_am;martes;08:00;Plaza Ñuñoa;Apoquindo con Manquehue, Las Condes;48.0;;;;
nunoa_apoquindo;valle;martes;13:00;Plaza Ñuñoa;Apoquindo con Manquehue, Las Condes;33.7;;;;
nunoa_apoquindo;punta_pm;martes;18:30;Plaza Ñuñoa;Apoquindo con Manquehue, Las Condes;39.7;;;;
nunoa_apoquindo;noche;martes;21:30;Plaza Ñuñoa;Apoquindo con Manquehue, Las Condes;30.3;;;;
lareina_vitacura;madrugada;martes;03:00;Larraín con Tobalaba, La Reina;Alonso de Córdova con Vitacura, Vitacura;17.7;;;;
lareina_vitacura;punta_am;martes;08:00;Larraín con Tobalaba, La Reina;Alonso de Córdova con Vitacura, Vitacura;39.3;;;;
lareina_vitacura;valle;martes;13:00;Larraín con Tobalaba, La Reina;Alonso de Córdova con Vitacura, Vitacura;27.3;;;;
lareina_vitacura;punta_pm;martes;18:30;Larraín con Tobalaba, La Reina;Alonso de Córdova con Vitacura, Vitacura;30.0;;;;
lareina_vitacura;noche;martes;21:30;Larraín con Tobalaba, La Reina;Alonso de Córdova con Vitacura, Vitacura;17.3;;;;
chamisero_colina;madrugada;martes;03:00;Chamisero, Colina;Plaza de Colina;23.3;;;;
chamisero_colina;punta_am;martes;08:00;Chamisero, Colina;Plaza de Colina;29.3;;;;
chamisero_colina;valle;martes;13:00;Chamisero, Colina;Plaza de Colina;27.0;;;;
chamisero_colina;punta_pm;martes;18:30;Chamisero, Colina;Plaza de Colina;34.3;;;;
chamisero_colina;noche;martes;21:30;Chamisero, Colina;Plaza de Colina;22.3;;;;
providencia_nunoa;madrugada;martes;03:00;Pedro de Valdivia con Providencia;Irarrázaval con Pedro de Valdivia, Ñuñoa;13.3;;;;
providencia_nunoa;punta_am;martes;08:00;Pedro de Valdivia con Providencia;Irarrázaval con Pedro de Valdivia, Ñuñoa;29.3;;;;
providencia_nunoa;valle;martes;13:00;Pedro de Valdivia con Providencia;Irarrázaval con Pedro de Valdivia, Ñuñoa;24.7;;;;
providencia_nunoa;punta_pm;martes;18:30;Pedro de Valdivia con Providencia;Irarrázaval con Pedro de Valdivia, Ñuñoa;33.3;;;;
providencia_nunoa;noche;martes;21:30;Pedro de Valdivia con Providencia;Irarrázaval con Pedro de Valdivia, Ñuñoa;19.0;;;;
lobarnechea_kennedy;madrugada;martes;03:00;Av. Lo Barnechea con El Rodeo;Kennedy con Manquehue (Parque Arauco);17.0;;;;
lobarnechea_kennedy;punta_am;martes;08:00;Av. Lo Barnechea con El Rodeo;Kennedy con Manquehue (Parque Arauco);33.7;;;;
lobarnechea_kennedy;valle;martes;13:00;Av. Lo Barnechea con El Rodeo;Kennedy con Manquehue (Parque Arauco);24.3;;;;
lobarnechea_kennedy;punta_pm;martes;18:30;Av. Lo Barnechea con El Rodeo;Kennedy con Manquehue (Parque Arauco);28.0;;;;
lobarnechea_kennedy;noche;martes;21:30;Av. Lo Barnechea con El Rodeo;Kennedy con Manquehue (Parque Arauco);18.7;;;;
